Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
2007-03-31, Diamondbacks, , • Randy Johnson (David), placed on 15 day DL recovering from surgery on back,1,15,unknown
2007-03-31, Dodgers, , • Hong-Chih Kuo, placed on 15 day DL with rotator cuff injury in left shoulder,1,15, rotator cuff injury in left shoulder
2007-03-31, Dodgers, , • Jason Repko, placed on 15 day DL with surgery on torn hamstring tendons (out for season),1,15, surgery on torn hamstring tendons (out for season)
2007-03-31, Dodgers, , • Rafael Furcal, placed on 15 day DL with sprained left ankle,1,15, sprained left ankle
2007-03-31, Dodgers, , • Yhency Brazoban, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-31, Mets, , • Dave Williams (Aaron), placed on 15 day DL recovering from surgery on neck,1,15,unknown
2007-03-31, Mets, , • Duaner Sanchez, placed on 15 day DL with fractured right shoulder (out 3 5 months),1,15, fractured right shoulder (out 3 5 months)
2007-03-31, Mets, , • Juan Padilla, placed on 15 day DL recovering from surgery on right elbow,1,15,unknown
2007-03-31, Mets, , • Pedro Martinez (J.), placed on 15 day DL with torn right rotator cuff,1,15, torn right rotator cuff
2007-03-31, Pirates, , • Freddy Sanchez, placed on 15 day DL with sprained ligament in right knee,1,15, sprained ligament in right knee
2007-03-31, Tigers, , • Edward Campusano / Ed Campusano, placed on 15 day DL with surgery on left elbow (out for season),1,15, surgery on left elbow (out for season)
2007-03-31, Tigers, , • Roman Colon, placed on 15 day DL recovering from surgery on neck,1,15,unknown
2007-03-31, Tigers, , • Tony Giarratano, placed on 60 day DL with surgery on right shoulder,1,60, surgery on right shoulder
2007-03-31, Yankees, , • Chien-Ming Wang, placed on 15 day DL with pulled right hamstring,1,15, pulled right hamstring
2007-03-31, Yankees, , • Humberto Sanchez, placed on 15 day DL with right forearm stiffness,1,15, right forearm stiffness
2007-03-31, Yankees, , • Jose Veras, placed on 15 day DL with bone chips in right elbow,1,15, bone chips in right elbow
2007-04-01, Athletics, , • Dan Johnson (a), placed on 15 day DL with torn labrum in left hip,1,15, torn labrum in left hip
2007-04-01, Athletics, , • Esteban Loaiza, placed on 15 day DL with right trapezius muscle injury,1,15, right trapezius muscle injury
2007-04-01, Brewers, , • Corey Koskie, placed on 15 day DL with post concussion syndrome,1,15, post concussion syndrome
2007-04-01, Devil Rays, , • Jon Switzer, placed on 60 day DL with left shoulder tendinitis,1,60, left shoulder tendinitis
2007-04-01, Giants, , • Mark Sweeney, placed on 15 day DL with bruised right foot,1,15, bruised right foot
2007-04-01, Indians, , • Cliff Lee (b), placed on 15 day DL with strained right abdominal muscle,1,15, strained right abdominal muscle
2007-04-01, Indians, , • Franklin Gutierrez, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-01, Indians, , • Joe Inglett, placed on 15 day DL with strained left quadriceps,1,15, strained left quadriceps
2007-04-01, Indians, , • Matt Miller (Jacob) (a), placed on 15 day DL with strained right forearm,1,15, strained right forearm
2007-04-01, Mariners, , • Cesar Jimenez, placed on 60 day DL with stress fracture in left elbow,1,60, stress fracture in left elbow
2007-04-01, Mariners, , • Mark Lowe, placed on 60 day DL recovering from surgery on right elbow,1,60,unknown
2007-04-01, Marlins, , • Jeremy Hermida, placed on 15 day DL with bone bruise in right knee,1,15, bone bruise in right knee
2007-04-01, Marlins, , • Taylor Tankersley, placed on 15 day DL with left shoulder tendinitis,1,15, left shoulder tendinitis
2007-04-01, Orioles, , • Jay Payton, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2007-04-01, Orioles, , • Sendy Rleal, placed on 15 day DL with sore right elbow,1,15, sore right elbow
2007-04-01, Phillies, , • Chris Coste, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2007-04-01, Phillies, , • Scott Mathieson, placed on 15 day DL recovering from ligament replacement (Tommy John) surgery,1,15,unknown
2007-04-01, Reds, , • Bill Bray, placed on 15 day DL with sprained left index finger,1,15, sprained left index finger
2007-04-01, Reds, , • Chris Denorfia, placed on 15 day DL with surgery on right elbow to repair torn UCL,1,15, surgery on right elbow to repair torn UCL
2007-04-01, Reds, , • Elizardo Ramirez, placed on 15 day DL with right shoulder tendinitis,1,15, right shoulder tendinitis
2007-04-01, Reds, , • Eric Milton, placed on 15 day DL with back spasms,1,15, back spasms
2007-04-01, Reds, , • Jeff Keppinger, placed on 15 day DL with broken right ring finger,1,15, broken right ring finger
2007-04-01, Reds, , • Jerry Gil, placed on 15 day DL with strained right elbow,1,15, strained right elbow
2007-04-01, Rockies, , • Brian Lawrence, placed on 15 day DL with surgery on right shoulder,1,15, surgery on right shoulder
2007-04-01, Royals, , • John Bale, placed on 15 day DL with strained shoulder/back,1,15, strained shoulder/back
2007-04-01, Royals, , • Leo Nunez / Juan Carlos Oviedo, placed on 15 day DL with fractured right wrist,1,15, fractured right wrist
2007-04-01, Royals, , • Luke Hudson, placed on 15 day DL with right biceps tendon inflammation,1,15, right biceps tendon inflammation
2007-04-01, Royals, , • Scott Elarton, placed on 15 day DL recovering from surgery on right shoulder,1,15,unknown
2007-04-01, White Sox, , • Toby Hall, placed on 15 day DL with dislocated right shoulder / torn labrum in right shoulder,1,15, dislocated right shoulder / torn labrum in right shoulder
2007-04-01, Reds, , • Eddie Guardado, placed on 15 day DL recovering from ligament replacement (Tommy John) surgery,1,15,unknown
2007-04-03, Nationals, , • Cristian Guzman, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-03, Nationals, , • Nook Logan, placed on 15 day DL with strained/hyperextended left foot,1,15, strained/hyperextended left foot
2007-04-03, Royals, , • Octavio Dotel, placed on 15 day DL with strained left oblique muscle,1,15, strained left oblique muscle
2007-04-04, Braves, , • Lance Cormier, placed on 15 day DL with strained right triceps,1,15, strained right triceps
2007-04-08, Orioles, , • Ramon Hernandez (J.), placed on 15 day DL with strained left oblique muscle,1,15, strained left oblique muscle
2007-04-08, Reds, , • Levi Burton / Jared Burton, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-08, Yankees, , • Hideki Matsui, placed on 15 day DL with hamstring injury,1,15, hamstring injury
2007-04-09, Cardinals, , • Chris Carpenter (b), placed on 15 day DL with swollen right elbow,1,15, swollen right elbow
2007-04-09, Marlins, , • Ricky Nolasco, placed on 15 day DL with right elbow inflammation,1,15, right elbow inflammation
2007-04-09, Twins, , • Jeff Cirillo, placed on 15 day DL with torn medial meniscus in left knee,1,15, torn medial meniscus in left knee
2007-04-09, Twins, , • Rondell White, placed on 15 day DL with strained right calf,1,15, strained right calf
2007-04-10, Dodgers, , • Matt Kemp, placed on 15 day DL with separated right shoulder (left shoulder per Transaction Guy),1,15, separated right shoulder (left shoulder per Transaction Guy)
2007-04-10, Mariners, , • Arthur Rhodes, placed on 15 day DL with torn ligament in left elbow,1,15, torn ligament in left elbow
2007-04-12, Nationals, , • Ray King, placed on 15 day DL with left shoulder tendinitis,1,15, left shoulder tendinitis
2007-04-12, Orioles, , • Jaret Wright, placed on 15 day DL with right shoulder injury,1,15, right shoulder injury
2007-04-12, Padres, , • Josh Bard, placed on 15 day DL with strained groin,1,15, strained groin
2007-04-12, Rangers, , • Jamey Wright, placed on 15 day DL with right shoulder inflammation,1,15, right shoulder inflammation
2007-04-13, Angels, , • Kelvim Escobar, placed on 15 day DL with right shoulder irritation,1,15, right shoulder irritation
2007-04-13, Blue Jays, , • Brandon League, placed on 15 day DL,1,15,unknown
2007-04-13, Blue Jays, , • Reed Johnson, placed on 15 day DL with herniated disc in lower back,1,15, herniated disc in lower back
2007-04-14, Braves, , • Chad Paronto, placed on 15 day DL with strained right groin,1,15, strained right groin
2007-04-15, Blue Jays, , • B.J. Ryan, placed on 15 day DL with strained left elbow,1,15, strained left elbow
2007-04-15, Rockies, , • Kazuo Matsui / Kaz Matsui, placed on 15 day DL with lower back spasms,1,15, lower back spasms
2007-04-15, Yankees, , • Carl Pavano, placed on 15 day DL with right forearm stiffness,1,15, right forearm stiffness
2007-04-15, Yankees, , • Mike Mussina, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-16, Blue Jays, , • Troy Glaus, placed on 15 day DL with bruised left heel / bone spurs,1,15, bruised left heel / bone spurs
2007-04-16, Rockies, , • Byung-Hyun Kim, placed on 15 day DL with bruised right thumb,1,15, bruised right thumb
2007-04-17, Astros, , • Jason Jennings, placed on 15 day DL with right elbow flexor tendinitis,1,15, right elbow flexor tendinitis
2007-04-17, Dodgers, , • Jason Schmidt, placed on 15 day DL with inflammation of bursa sac in right shoulder,1,15, inflammation of bursa sac in right shoulder
2007-04-17, White Sox, , • Scott Podsednik, placed on 15 day DL with pulled right adductor,1,15, pulled right adductor
2007-04-18, Angels, , • Howie Kendrick, placed on 15 day DL with broken left middle finger,1,15, broken left middle finger
2007-04-18, Marlins, , • Alejandro De Aza, placed on 15 day DL with sprained right ankle,1,15, sprained right ankle
2007-04-18, Marlins, , • Jorge Julio, placed on 15 day DL with strained right calf,1,15, strained right calf
2007-04-19, Rockies, , • Rodrigo Lopez, placed on 15 day DL with elbow inflammation,1,15, elbow inflammation
2007-04-20, Diamondbacks, , • Micah Owings, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2007-04-20, Marlins, , • Sergio Mitre, placed on 15 day DL with blister on right middle finger,1,15, blister on right middle finger
2007-04-20, Tigers, , • Jose Mesa (R.N.), placed on 15 day DL with pulled right groin,1,15, pulled right groin
